Location,Trainer,Pokemon,Level,Item,Move 1,Move 2,Move 3,Move 4,EXP
,,Smeargle,34,Berry Juice,Sacred Fire,Extremespeed,Metal Claw,Thunderbolt,772
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Psychic PSYCHIC_T (5) GREG,Jynx,34,Berry Juice,Ice Beam,Lovely Kiss,Psybeam,No Move,998
,,Venomoth,34,Berry Juice,Dream Eater,Sludge Bomb,Sleep Powder,Giga Drain,1005
,,Hypno,34,Berry Juice,Shadow Ball,Submission,Thunder Wave,Psybeam,1202
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Burned Tower,Rival1 RIVAL1 (7) ?,Arcanine,35,Miracleberry,Flamethrower,Morning Sun,Body Slam,Hidden Power (Electric),1597
,,Dragonair,38,Miracleberry,Dragon Rage,Waterfall,Thunder Wave,Body Slam,1172
,,Scizor,33,Miracleberry,Metal Claw,Hidden Power (Bug),Reversal,No Move,1414
,,Hitmonchan,35,Berry Juice,Mach Punch,Submission,Earthquake,Rock Slide,1050
,,Octillery,34,Berry Juice,Octazooka,Ice Beam,Flamethrower,No Move,1194
,,Meganium,35,Leftovers,Giga Drain,Body Slam,Synthesis,Earthquake,1560
,Rival1 RIVAL1 (8) ?,Dragonair,38,Miracleberry,Dragon Rage,Waterfall,Thunder Wave,Body Slam,1172
,,Octillery,34,Brightpowder,Octazooka,Ice Beam,Flamethrower,No Move,1194
,,Scizor,33,Miracleberry,Metal Claw,Hidden Power (Bug),Reversal,No Move,1414
,,Hitmonlee,35,Berry Juice,Earthquake,Rock Slide,Submission,Double Edge,1042
,,Victreebel,34,Berry Juice,Petal Dance,Sludge Bomb,Lovely Kiss,No Move,1391
,,Typhlosion,35,Berry Juice,Flamethrower,Thunderpunch,Earthquake,Quick Attack,1567
,Rival1 RIVAL1 (9) ?,Victreebel,34,Berry Juice,Petal Dance,Sludge Bomb,Lovely Kiss,No Move,1391
,,Dugtrio,34,Miracleberry,Earthquake,Rock Slide,Tri Attack,No Move,1114
,,Scizor,33,Miracleberry,Metal Claw,Hidden Power (Bug),Reversal,No Move,1414
,,Hitmontop,35,Berry Juice,Mach Punch,Submission,Counter,Rock Slide,1035
,,Dragonair,38,Miracleberry,Dragon Rage,Waterfall,Thunder Wave,Body Slam,1172
,,Feraligatr,35,Berry Juice,Waterfall,Ice Beam,Double Edge,No Move,1575
Ecruteak City,KimonoGirl KIMONO_GIRL (2) NAOKO,Jolteon,35,Miracleberry,Thunderbolt,Hidden Power (Ice),Bite,No Move,1477
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,KimonoGirl KIMONO_GIRL (3) SAYO,Umbreon,35,Miracleberry,Faint Attack,Moonlight,Toxic,Psychic M,1477
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,KimonoGirl KIMONO_GIRL (4) ZUKI,Espeon,35,Miracleberry,Psychic M,Hidden Power (Fire),Sing,Shadow Ball,1477
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,KimonoGirl KIMONO_GIRL (5) KUNI,Flareon,35,Miracleberry,Flamethrower,Double Edge,Iron Tail,Shadow Ball,1485
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,KimonoGirl KIMONO_GIRL (6) MIKI,Vaporeon,35,Miracleberry,Waterfall,Ice Beam,Toxic,Recover,1470
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecruteak City Gym,Sage SAGE (6) PING,Unown,38,Focus Band,Psychic M,Hidden Power (Fighting),Shadow Ball,,496
,,Magmar,35,Miracleberry,Flamethrower,Confuse Ray,Thunderpunch,Mach Punch,1252
,,Corsola,35,Leftovers,Recover,Waterfall,Ancientpower,Ice Beam,847
,,Golbat,35,Focus Band,Confuse Ray,Sludge Bomb,Giga Drain,Shadow Ball,1282
,,Haunter,35,Magnet,Shadow Ball,Ice Punch,Fire Punch,Thunderbolt,945
,,,,,,,,,
,Medium MEDIUM (1) MARTHA,Noctowl,35,Leftovers,Hypnosis,Psychic M,Night Shade,Reflect,1215
,,Persian,35,Focus Band,Body Slam,Bubblebeam,Hypnosis,Shadow Ball,1110
,,Rapidash,35,Metal Coat,Megahorn,Flamethrower,Double Edge,Iron Tail,1440
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
immediate,Medium MEDIUM (2) GRACE,Ninetales,35,Charcoal,Flamethrower,Psychic M,Confuse Ray,Iron Tail,1335
,,Xatu,35,Berry Juice,Psychic M,Drill Peck,Confuse Ray,Giga Drain,1282
,,Clefable,35,Leftovers,Recover,Return,Toxic,Ice Punch,967
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (5) JEFFREY,Skarmory,36,Focus Band,Steel Wing,Sky Attack,Spikes,No Move,1296
,,Mantine,36,Focus Band,Confuse Ray,Waterfall,Toxic,Ice Beam,1296
,,Chansey,36,Leftovers,Softboiled,Ice Beam,Toxic,Psywave,1967
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Morty MORTY (1) MORTY,Crobat,37,Gold Berry,Confuse Ray,Sludge Bomb,Shadow Ball,Giga Drain,1617
,,Stantler,36,Brightpowder,Confuse Ray,Return,Earthquake,Reflect,1272
,,Lanturn,37,Leftovers,Thunder Wave,Ice Beam,Thunderbolt,Waterfall,1236
,,Misdreavus,36,Leftovers,Hypnosis,Night Shade,Thunderbolt,Psychic M,1134
,,Umbreon,37,Miracleberry,Confuse Ray,Moonlight,Body Slam,Psychic M,1561
,,Gengar,36,Miracleberry,Hypnosis,Thunderbolt,Ice Punch,Fire Punch,1465
Route 38 (gauntlet),Sailor SAILOR (10) HARRY,Machoke,38,Berserk Gene,Submission,Rock Slide,Earthquake,Body Slam,1188
,,Poliwrath,38,Leftovers,Submission,Waterfall,Earthquake,Ice Beam,1506
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Beauty BEAUTY (17) OLIVIA,Clefable,38,Leftovers,Psychic M,Softboiled,Body Slam,Ice Punch,1050
,,Meganium,38,Leftovers,Giga Drain,Earthquake,Body Slam,Synthesis,1693
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Lass LASS (10) DANA,Sandslash,38,Focus Band,Earthquake,Slash,Rock Slide,Sludge Bomb,1327
,,Wigglytuff,38,Focus Band,Double Edge,Psychic M,Thunder Wave,Thunderbolt,887
,,Raichu,38,Focus Band,Thunderbolt,Surf,Petal Dance,Thunder Wave,993
,,Victreebel,38,Focus Band,Giga Drain,Sludge Bomb,Lovely Kiss,No Move,1555
,,,,,,,,,
,,,,,,,,,
,Beauty BEAUTY (16) VALERIE,Togetic,47,No Item,Metronome,Softboiled,Thunder Wave,No Move,1148
,,Vileplume,38,Focus Band,Petal Dance,Sludge Bomb,Hidden Power (Fire),Synthesis,1498
,,Dewgong,38,Miracleberry,Sing,Waterfall,Ice Beam,Megahorn,1433
,,Flareon,38,Quick Claw,Flamethrower,Iron Tail,Shadow Ball,Double Edge,1612
,,,,,,,,,
,,,,,,,,,
you can leave after this fight one time,BirdKeeper BIRD_KEEPER (5) TOBY,Golduck,38,Quick Claw,Waterfall,Ice Beam,Hypnosis,Psychic M,1416
,,Pidgeot,38,Pink Bow,Sky Attack,Double Edge,Steel Wing,No Move,1400
,,Murkrow,37,Berserk Gene,Wing Attack,Steel Wing,Hidden Power (Fighting),Shadow Ball,848
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Schoolboy SCHOOLBOY (10) CHAD,Arbok,39,Quick Claw,Sludge Bomb,Giga Drain,Glare,Earthquake,1228
,,Hitmonlee,39,Miracleberry,Submission,Rock Slide,Earthquake,Double Edge,1161
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 39,PokefanF POKEFANF (6) JAIME,Meowth,50,Miracleberry,Slash,Shadow Ball,Bubblebeam,Thunder,739
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PokefanM POKEFANM (2) DEREK,Pikachu,45,Light Ball,Thunderbolt,Surf,Petal Dance,Quick Attack,790
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Psychic PSYCHIC_T (6) NORMAN,Xatu,39,Miracle Seed,Psychic M,Reflect,Drill Peck,Giga Drain,1429
,,Slowbro,39,Twistedspoon,Psybeam,Surf,Ice Punch,No Move,1370
,,Exeggutor,39,Focus Band,Psybeam,Giga Drain,Sleep Powder,No Move,1771
,,Porygon2,39,Leftovers,Psychic M,Tri Attack,Recover,Shadow Ball,1504
,,,,,,,,,
,,,,,,,,,
,PokefanF POKEFANF (2) RUTH,Furret,50,Leftovers,Quick Attack,Ice Punch,Fire Punch,Thunderpunch,1242
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
end of gauntlet,Sailor SAILOR (1) EUGENE,Raticate,38,Berserk Gene,Double Edge,Iron Tail,Bubblebeam,Quick Attack,944
,,Hitmonchan,39,Focus Band,Submission,Earthquake,Mach Punch,Counter,1170
,,Octillery,39,Quick Claw,Octazooka,Flamethrower,Ice Beam,Sludge Bomb,1370
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 40,SwimmerM SWIMMERM (2) SIMON,Seaking,40,Silverpowder,Megahorn,Double Edge,Waterfall,No Move,1457
,,Dunsparce,45,Leftovers,Rollout,No Move,No Move,No Move,1205
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),SwimmerF SWIMMERF (2) PAULA,Sunflora,40,Leftovers,Giga Drain,Sludge Bomb,Synthesis,No Move,1251
,,Corsola,40,Leftovers,Ancientpower,Ice Beam,Waterfall,Recover,968
,,Mantine,40,Leftovers,Toxic,Waterfall,Ice Beam,No Move,1440
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SwimmerM SWIMMERM (3) RANDALL,Furret,40,Pink Bow,Double Edge,Shadow Ball,Iron Tail,No Move,994
,,Qwilfish,40,Quick Claw,Sludge Bomb,Waterfall,Toxic,No Move,857
,,Aipom,40,Pink Bow,Return,Shadow Ball,Iron Tail,No Move,805
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),SwimmerF SWIMMERF (1) ELAINE,Golduck,40,Twistedspoon,Waterfall,Psychic M,Ice Beam,No Move,1491
,,Starmie,39,Mystic Water,Thunderbolt,Waterfall,Psychic M,Ice Beam,1729
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 41,SwimmerM SWIMMERM (4) CHARLIE,Parasect,40,Quick Claw,Spore,Giga Drain,Sludge Bomb,Double Edge,1097
,,Tentacruel,39,Focus Band,Surf,Sludge Bomb,Ice Beam,No Move,1713
,,Sneasel,40,Nevermeltice,Ice Beam,Faint Attack,Surf,Shadow Ball,1131
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),SwimmerM SWIMMERM (7) KIRK,Sandslash,40,Quick Claw,Earthquake,Rock Slide,Sludge Bomb,Guillotine,1397
,,Kingler,40,Quick Claw,Crabhammer,Metal Claw,Submission,Guillotine,1765
,,Pinsir,39,Quick Claw,Guillotine,Submission,Double Edge,Rock Slide,1671
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SwimmerF SWIMMERF (3) KAYLEE,Nidoqueen,41,Leftovers,Flamethrower,Surf,Sludge Bomb,Earthquake,1704
,,Fearow,40,Focus Band,Sky Attack,Steel Wing,Tri Attack,Quick Attack,1388
,,Tangela,40,Quick Claw,Petal Dance,Giga Drain,Sleep Powder,Ancientpower,1422
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),SwimmerF SWIMMERF (6) KARA,Bellossom,41,Miracleberry,Petal Dance,Synthesis,Sleep Powder,Double Edge,1616
,,Lanturn,41,Leftovers,Waterfall,Thunder Wave,Thunderbolt,Ice Beam,1370
,,Azumarill,40,Berserk Gene,Double Edge,Submission,No Move,No Move,1311
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SwimmerM SWIMMERM (6) BERKE,Dragonair,47,Miracleberry,Dragon Rage,No Move,No Move,No Move,1450
,,Dragonair,44,Miracleberry,Thunderbolt,Waterfall,Ice Beam,No Move,1357
,,Dragonair,45,Miracleberry,Outrage,No Move,No Move,No Move,1388
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SwimmerM SWIMMERM (5) GEORGE,Lickitung,41,Quick Claw,Body Slam,Earthquake,Rest,Sleep Talk,1115
,,Octillery,41,Quick Claw,Flamethrower,Ice Beam,Octazooka,No Move,1440
,,Mantine,41,Leftovers,Confuse Ray,Toxic,Waterfall,Ice Beam,1476
,,Dugtrio,41,Soft Sand,Earthquake,Sludge Bomb,Rock Slide,Body Slam,1344
,,Victreebel,41,Poison Barb,Sludge Bomb,Giga Drain,Sleep Powder,Body Slam,1678
,,Raticate,42,Pink Bow,Double Edge,Shadow Ball,Iron Tail,Surf,1044
(left trainer),SwimmerM SWIMMERM (8) MATHEW,Gyarados,44,Leftovers,Thunder,Blizzard,Hydro Pump,No Move,2017
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(right trainer) (immediate),SwimmerF SWIMMERF (5) DENISE,Dewgong,41,Leftovers,Waterfall,Ice Beam,Rest,Sleep Talk,1546
,,Seadra,45,Mystic Water,Octazooka,Blizzard,No Move,No Move,1494
,,Ariados,41,Quick Claw,Megahorn,Sludge Bomb,Shadow Ball,No Move,1177
,,Ampharos,41,Quick Claw,Fire Punch,Thunderbolt,Thunder Wave,No Move,1704
,,Quagsire,42,Quick Claw,Sludge Bomb,Waterfall,Earthquake,Body Slam,1233
,,,,,,,,,
,SwimmerF SWIMMERF (7) WENDY,Vileplume,41,Quick Claw,Sludge Bomb,Sleep Powder,Petal Dance,Giga Drain,1616
,,Raichu,41,Magnet,Surf,Body Slam,Thunderbolt,Petal Dance,1071
,,Flareon,41,Quick Claw,Body Slam,Flamethrower,Shadow Ball,Quick Attack,1739
,,Togetic,48,Leftovers,Metronome,No Move,No Move,No Move,1172
,,Wigglytuff,42,Leftovers,Double Edge,Sing,Shadow Ball,Thunder,981
,,Poliwrath,41,Gold Berry,Belly Drum,Submission,Waterfall,No Move,1625
Cianwood city,Mysticalman MYSTICALMAN (1) EUSINE,Xatu,41,Brightpowder,Psychic M,Drill Peck,Giga Drain,Shadow Ball,1502
,,Raichu,41,Brightpowder,Thunderbolt,Surf,Petal Dance,Submission,1071
,,Jumpluff,42,Brightpowder,Sleep Powder,Leech Seed,Giga Drain,Substitute,1584
,,Arcanine,42,Mint Berry,Flamethrower,Hidden Power (Grass),Rest,Body Slam,1917
,,Vaporeon,42,Quick Claw,Waterfall,Ice Beam,Rest,Sleep Talk,1764
,,Alakazam,41,Miracleberry,Psychic M,Thunderpunch,Ice Punch,Fire Punch,1634
Cianwood city gym,Blackbelt BLACKBELT_T (2) YOSHI,Scizor,42,Quick Claw,Metal Claw,Double Edge,Submission,No Move,1800
gauntlet,,Sudowoodo,42,Leftovers,Ancientpower,Earthquake,Submission,Selfdestruct,1215
,,Hitmonchan,43,Miracleberry,Mach Punch,Earthquake,Submission,Rock Slide,1290
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),Blackbelt BLACKBELT_T (4) LAO,Hitmonlee,42,Blackbelt I,Submission,Rock Slide,Earthquake,Reversal,1251
,,Sandslash,42,Soft Sand,Earthquake,Rock Slide,Sludge Bomb,Body Slam,1467
,,Politoed,43,Miracleberry,Belly Drum,Submission,Body Slam,Waterfall,1704
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Blackbelt BLACKBELT_T (5) NOB,Golem,42,Quick Claw,Earthquake,Ancientpower,No Move,No Move,1593
,,Farfetch D,42,Berserk Gene,Double Edge,Steel Wing,Sky Attack,Submission,846
,,Primeape,42,Mysteryberry,Endure,Reversal,No Move,No Move,1341
,,Wobbuffet,50,Miracleberry,Mean Look,Destiny Bond,No Move,No Move,1896
,,,,,,,,,
,,,,,,,,,
(immediate),Blackbelt BLACKBELT_T (7) LUNG,Murkrow,42,Miracleberry,Sky Attack,Pursuit,Steel Wing,Hidden Power (Ground),963
end of gauntlet,,Hitmontop,43,Focus Band,Counter,Mach Punch,Submission,Rock Slide,1271
,,Granbull,42,Quick Claw,Double Edge,Shadow Ball,Earthquake,No Move,1602
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Chuck CHUCK (1) CHUCK,Poliwrath,44,Nevermeltice,Lovely Kiss,Submission,Earthquake,Ice Beam,1744
,,Magmar,44,Magnet,Mach Punch,Flamethrower,Cross Chop,Thunderpunch,1574
,,Electabuzz,43,Blackbelt I,Thunderbolt,Cross Chop,Ice Punch,Fire Punch,1437
,,Machamp,44,Quick Claw,Cross Chop,Rock Slide,Earthquake,Mach Punch,1819
,,Ursaring,43,Pink Bow,Double Edge,Earthquake,Metal Claw,Quick Attack,1741
,,Primeape,44,Miracleberry,Cross Chop,Earthquake,Rock Slide,Reversal,1404
Mt. Mortar,Blackbelt BLACKBELT_T (6) KIYO,Hitmonlee,50,Miracleberry,Double Edge,Submission,Rock Slide,Reversal,1489
(gives you tyrogue),,Hitmonchan,50,Miracleberry,Shadow Ball,Submission,Rock Slide,Earthquake,1500
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (15) MILLER,Flareon,46,Quick Claw,Flamethrower,Iron Tail,Shadow Ball,Quick Attack,1951
,,Dewgong,47,Leftovers,Waterfall,Megahorn,Ice Beam,Body Slam,1772
,,Slowbro,47,Quick Claw,Psychic M,Ice Beam,Waterfall,Earthquake,1651
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SuperNerd SUPER_NERD (14) MARKUS,Electrode,45,Miracleberry,Thunderbolt,Explosion,Hidden Power (Grass),No Move,1446
,,Qwilfish,45,Miracleberry,Sludge Bomb,Explosion,Waterfall,No Move,964
,,Exeggutor,45,Miracleberry,Giga Drain,Selfdestruct,Psychic M,No Move,2044
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SuperNerd SUPER_NERD (13) HUGH,Weezing,45,Miracleberry,Thunderbolt,Explosion,Flamethrower,Sludge Bomb,1668
,,Forretress,45,Miracleberry,Hidden Power (Steel),Explosion,Spikes,No Move,1137
,,Cloyster,45,Miracleberry,Waterfall,Explosion,Ice Beam,No Move,1957
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 42,Hiker HIKER (6) BENJAMIN,Sudowoodo,47,Quick Claw,Ancientpower,Earthquake,Double Edge,No Move,1359
,,Crobat,47,Miracleberry,Sludge Bomb,Confuse Ray,Shadow Ball,Giga Drain,2054
,,Dugtrio,47,Miracleberry,Earthquake,Sludge Bomb,Ancientpower,Hidden Power (Fighting),1540
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (4) SHANE,Vileplume,47,Quick Claw,Sludge Bomb,Petal Dance,Sleep Powder,Giga Drain,1853
,,Ninetales,47,Miracleberry,Flamethrower,Iron Tail,Confuse Ray,Quick Attack,1792
,,Xatu,47,Miracleberry,Giga Drain,Psychic M,Shadow Ball,Drill Peck,1722
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Fisher FISHER (7) TULLY,Magikarp,99,Berserk Gene,Flail,,,,424
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 43,Pokemaniac POKEMANIAC (5) BEN,Pidgeot,48,Leftovers,Sky Attack,Hidden Power (Grass),Double Edge,Quick Attack,1769
(right trainer),,Aipom,48,Leftovers,Double Edge,Submission,Shadow Ball,Quick Attack,966
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(left trainer) (immediate),Pokemaniac POKEMANIAC (6) BRENT,Forretress,60,Leftovers,Spikes,Explosion,,,1517
,,Sandslash,48,Quick Claw,Earthquake,Ancientpower,Sludge Bomb,No Move,1676
,,Donphan,48,Quick Claw,Roar,Earthquake,Rock Slide,No Move,1944
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (7) RON,Kabutops,48,Miracleberry,Rock Slide,Submission,Waterfall,Double Edge,2046
,,Omastar,48,Quick Claw,Waterfall,Ice Beam,Ancientpower,No Move,2046
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Fisher FISHER (6) MARVIN,Qwilfish,48,Miracleberry,Spikes,Waterfall,Sludge Bomb,Body Slam,1028
,,Mantine,48,Leftovers,Hydro Pump,Confuse Ray,Blizzard,No Move,1728
,,Quagsire,49,Quick Claw,Ancientpower,Waterfall,Earthquake,Sludge Bomb,1438
,,Lanturn,49,Leftovers,Thunder Wave,Thunderbolt,Waterfall,Ice Beam,1638
,,,,,,,,,
,,,,,,,,,
,Picnicker PICNICKER (20) TIFFANY,Sunkern,99,Leftovers,Giga Drain,Leech Seed,Toxic,Protect,1103
,,Cleffa,99,Leftovers,Metronome,No Move,No Move,No Move,784
,,Igglybuff,99,Mysteryberry,Body Slam,Thunderpunch,Ice Punch,Fire Punch,827
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Camper CAMPER (19) SPENCER,Pichu,99,Miracle Seed,Thunder,Submission,Surf,Petal Dance,891
,,Togepi,99,Mysteryberry,Metronome,No Move,No Move,No Move,1569
,,Caterpie,99,Leftovers,Hidden Power (Bug),No Move,No Move,No Move,1124
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lake of Rage,Fisher FISHER (8) ANDRE,Gyarados,49,Miracleberry,Double Edge,Hidden Power (Flying),Waterfall,No Move,2247
,,Tentacruel,48,Miracleberry,Sludge Bomb,Ice Beam,Waterfall,Giga Drain,2108
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),Fisher FISHER (9) RAYMOND,Omastar,48,Leftovers,Spikes,Waterfall,Ice Beam,Ancientpower,2046
,,Weezing,48,Quick Claw,Flamethrower,Thunderbolt,Shadow Ball,Sludge Bomb,1779
,,Kingler,48,Quick Claw,Submission,Crabhammer,Metal Claw,Ice Punch,2118
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),CooltrainerM COOLTRAINERM (2) AARON,Kangaskhan,49,Leftovers,Body Slam,Submission,Counter,Earthquake,1837
,,Shuckle,49,Leftovers,Toxic,Sandstorm,Wrap,Protect,840
,,Electabuzz,48,Magnet,Thunderbolt,Cross Chop,Ice Punch,Quick Attack,1604
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CooltrainerF COOLTRAINERF (2) LOIS,Gengar,48,Miracleberry,Shadow Ball,Thunderpunch,Ice Punch,Fire Punch,1954
,,Persian,49,Miracleberry,Double Edge,Hidden Power (Water),Shadow Ball,Iron Tail,1554
,,Rapidash,48,Focus Band,Fire Blast,Iron Tail,Quick Attack,Megahorn,1974
,,Exeggutor,48,Quick Claw,Psychic M,Giga Drain,Ancientpower,No Move,2180
,,Politoed,49,Leftovers,Waterfall,Ice Beam,Earthquake,Submission,1942
,,Mr  Mime,48,Miracleberry,Psychic M,Ice Punch,Fire Punch,Thunderbolt,1398
Rocket Hideout,GruntM GRUNTM (16) GRUNT,Rhydon,49,Hard Stone,Ancientpower,Megahorn,Surf,Earthquake,2142
,,Gyarados,49,Sharp Beak,Hidden Power (Flying),Double Edge,Waterfall,Thunderbolt,2247
,,Yanma,49,Miracle Seed,Ancientpower,Quick Attack,Wing Attack,Hidden Power (Bug),1543
,,Persian,49,Pink Bow,Double Edge,Thunder,Shadow Ball,Iron Tail,1554
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (20) GRUNT,Electrode,48,Miracleberry,Selfdestruct,Thunderbolt,Hidden Power (Ice),No Move,1542
,,Cloyster,48,Quick Claw,Selfdestruct,Waterfall,Ice Beam,No Move,2088
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),GruntM GRUNTM (21) GRUNT,Golem,47,Quick Claw,Selfdestruct,Earthquake,Rock Slide,No Move,1782
,,Forretress,47,Quick Claw,Selfdestruct,Hidden Power (Steel),Earthquake,Body Slam,1188
,,Weezing,47,Quick Claw,Selfdestruct,Sludge Bomb,Flamethrower,No Move,1742
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Scientist SCIENTIST (3) JED,Magneton,50,Magnet,Thunderbolt,Hidden Power (Water),Thunder Wave,Explosion,1725
,,Kabutops,51,Mystic Water,Ancientpower,Waterfall,Submission,Quick Attack,2174
,,Porygon2,51,Leftovers,Thunderbolt,Ice Beam,Tri Attack,Recover,1967
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (19) GRUNT,Raticate,54,Pink Bow,Double Edge,Submission,Shadow Ball,Quick Attack,1342
,,Hypno,51,Leftovers,Thunderbolt,Shadow Ball,Fire Punch,Submission,1803
,,Arbok,51,Leftovers,Sludge Bomb,Giga Drain,Earthquake,Iron Tail,1606
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (17) GRUNT,Umbreon,52,Leftovers,Crunch,Toxic,Moonlight,Hidden Power (Fire),2195
,,Espeon,51,Miracleberry,Psychic M,Hidden Power (Fire),Growth,No Move,2152
,,Houndoom,52,Miracleberry,Flamethrower,Crunch,Iron Tail,Quick Attack,2273
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Scientist SCIENTIST (2) MITCH,Ditto,70,Leftovers,Transform,No Move,No Move,No Move,915
,,Ditto,70,Leftovers,Transform,No Move,No Move,No Move,915
,,Ditto,70,Leftovers,Transform,No Move,No Move,No Move,915
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (28) GRUNT,Xatu,52,Miracleberry,Giga Drain,Psychic M,Hidden Power (Fire),Drill Peck,1905
,,Nidoking,52,Miracleberry,Earthquake,Sludge Bomb,Megahorn,Hidden Power (Fighting),2172
,,Ursaring,48,Berserk Gene,Double Edge,Earthquake,No Move,No Move,1944
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntF GRUNTF (5) GRUNT,Vileplume,52,Leftovers,Giga Drain,Sleep Powder,Hidden Power (Fire),Sludge Bomb,2050
,,Lanturn,52,Leftovers,Waterfall,Thunder,Ice Beam,Thunder Wave,1738
,,Nidoqueen,52,Miracleberry,Earthquake,Sludge Bomb,Fire Blast,Blizzard,2161
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (18) GRUNT,Crobat,52,Miracleberry,Sky Attack,Giga Drain,Sludge Bomb,No Move,2273
,,Muk,50,Quick Claw,Explosion,Flamethrower,Giga Drain,Sludge Bomb,1682
,,Weezing,50,Quick Claw,Explosion,Sludge Bomb,Thunderbolt,Psychic M,1853
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Scientist SCIENTIST (1) ROSS,Miltank,51,Focus Band,Body Slam,Milk Drink,Attract,Earthquake,2185
,,Slowbro,52,Leftovers,Psychic M,Ice Beam,Waterfall,Recover,1827
,,Mr  Mime,52,Miracleberry,Psychic M,Thunderbolt,Fire Punch,Reflect,1515
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ExecutiveM EXECUTIVEM (4) EXECUTIVE,Misdreavus,53,Miracleberry,Hypnosis,Night Shade,Psychic M,Thunderbolt,1669
,,Houndoom,53,Magnet,Flamethrower,Crunch,Hidden Power (Electric),Iron Tail,2316
